	Anoalb	Anoatr	Anochr	Anocul	Anodar	Anodir	Anoepi	Anofar	Anofun	Anogam	Anomac	Anomin	Anosin	Anoste
OG0016278			Anochr_ACHR006244-RA											
OG0016279			Anochr_ACHR006221-RA											
OG0016280			Anochr_ACHR014081-RA											
OG0016281			Anochr_ACHR014316-RB											
OG0016282			Anochr_ACHR014318-RA											
OG0016283			Anochr_ACHR014312-RA											
OG0016284			Anochr_ACHR014308-RA											
OG0016285			Anochr_ACHR014306-RA											
OG0016286			Anochr_ACHR006334-RA											
OG0016287			Anochr_ACHR006914-RA											
OG0016288			Anochr_ACHR000604-RA											
OG0016289			Anochr_ACHR014083-RA											
OG0016290			Anochr_ACHR014339-RA											
OG0016291			Anochr_ACHR014323-RA											
OG0016292			Anochr_ACHR006899-RA											
OG0016293			Anochr_ACHR000892-RA											
OG0016294			Anochr_ACHR006750-RA											
OG0016295			Anochr_ACHR014090-RA											
OG0016296			Anochr_ACHR014320-RB											
OG0016297			Anochr_ACHR006685-RA											
OG0016298			Anochr_ACHR014328-RA											
OG0016299			Anochr_ACHR014019-RA											
OG0016300			Anochr_ACHR014332-RA											
OG0016301			Anochr_ACHR014063-RA											
OG0016302			Anochr_ACHR001785-RA											
OG0016303			Anochr_ACHR014324-RA											
OG0016304			Anochr_ACHR007037-RA											
OG0016305			Anochr_ACHR014335-RA											
OG0016306			Anochr_ACHR014322-RA											
OG0016307			Anochr_ACHR014325-RA											
OG0016308			Anochr_ACHR014338-RA											
OG0016309			Anochr_ACHR014067-RA											
OG0016310			Anochr_ACHR014069-RA											
OG0016311			Anochr_ACHR006656-RA											
OG0016312			Anochr_ACHR014321-RA											
OG0016313			Anochr_ACHR014331-RA											
OG0016314			Anochr_ACHR014336-RA											
OG0016315			Anochr_ACHR014062-RA											
OG0016316			Anochr_ACHR006703-RA											
OG0016317			Anochr_ACHR014347-RA											
OG0016318			Anochr_ACHR014086-RB											
OG0016319			Anochr_ACHR007250-RA											
OG0016320			Anochr_ACHR007130-RA											
OG0016321			Anochr_ACHR014096-RA											
OG0016322			Anochr_ACHR014350-RA											
OG0016323			Anochr_ACHR001740-RA											
OG0016324			Anochr_ACHR014345-RA											
OG0016325			Anochr_ACHR014004-RA											
OG0016326			Anochr_ACHR014346-RA											
OG0016327			Anochr_ACHR000171-RA											
OG0016328			Anochr_ACHR007248-RA											
OG0016329			Anochr_ACHR014103-RA											
OG0016330			Anochr_ACHR014048-RA											
OG0016331			Anochr_ACHR014049-RA											
OG0016332			Anochr_ACHR007098-RA											
OG0016333			Anochr_ACHR007144-RA											
OG0016334			Anochr_ACHR014340-RF											
OG0016335			Anochr_ACHR014003-RA											
OG0016336			Anochr_ACHR014036-RA											
OG0016337			Anochr_ACHR014355-RA											
OG0016338			Anochr_ACHR007236-RA											
OG0016339			Anochr_ACHR007368-RA											
OG0016340			Anochr_ACHR007369-RA											
OG0016341			Anochr_ACHR014059-RB											
OG0016342			Anochr_ACHR007697-RA											
OG0016343			Anochr_ACHR014357-RA											
OG0016344			Anochr_ACHR014074-RA											
OG0016345			Anochr_ACHR014075-RA											
OG0016346			Anochr_ACHR014076-RA											
OG0016347			Anochr_ACHR014033-RB											
OG0016348			Anochr_ACHR007439-RA											
OG0016349			Anochr_ACHR014002-RA											
OG0016350			Anochr_ACHR014371-RA											
OG0016351			Anochr_ACHR014365-RA											
OG0016352			Anochr_ACHR014362-RA											
OG0016353			Anochr_ACHR014359-RA											
OG0016354			Anochr_ACHR007700-RA											
OG0016355			Anochr_ACHR007745-RA											
OG0016356			Anochr_ACHR014368-RA											
OG0016357			Anochr_ACHR014005-RA											
OG0016358			Anochr_ACHR014358-RA											
OG0016359			Anochr_ACHR014360-RA											
OG0016360			Anochr_ACHR014374-RA											
OG0016361			Anochr_ACHR007606-RA											
OG0016362			Anochr_ACHR014100-RA											
OG0016363			Anochr_ACHR007691-RA											
OG0016364			Anochr_ACHR007522-RA											
OG0016365			Anochr_ACHR014372-RA											
OG0016366			Anochr_ACHR007425-RA											
OG0016367			Anochr_ACHR014370-RA											
OG0016368			Anochr_ACHR014025-RA											
OG0016369			Anochr_ACHR014387-RA											
OG0016370			Anochr_ACHR007978-RA											
OG0016371			Anochr_ACHR014151-RB											
OG0016372			Anochr_ACHR014377-RA											
OG0016373			Anochr_ACHR014384-RB											
OG0016374			Anochr_ACHR014148-RA											
OG0016375			Anochr_ACHR014146-RB											
OG0016376			Anochr_ACHR014147-RA											
OG0016377			Anochr_ACHR014383-RA											
OG0016378			Anochr_ACHR007863-RA											
OG0016379			Anochr_ACHR014378-RC											
OG0016380			Anochr_ACHR014381-RA											
OG0016381			Anochr_ACHR014382-RA											
OG0016382			Anochr_ACHR014380-RA											
OG0016383			Anochr_ACHR007951-RA											
OG0016384			Anochr_ACHR014376-RA											
OG0016385			Anochr_ACHR014112-RA											
OG0016386			Anochr_ACHR014114-RA											
OG0016387			Anochr_ACHR014113-RA											
OG0016388			Anochr_ACHR014026-RB											
OG0016389			Anochr_ACHR014173-RA											
OG0016390			Anochr_ACHR008177-RA											
OG0016391			Anochr_ACHR014008-RA											
OG0016392			Anochr_ACHR014158-RA											
OG0016393			Anochr_ACHR014388-RA											
OG0016394			Anochr_ACHR014159-RA											
OG0016395			Anochr_ACHR014396-RA											
OG0016396			Anochr_ACHR008350-RA											
OG0016397			Anochr_ACHR008197-RA											
OG0016398			Anochr_ACHR014391-RA											
OG0016399			Anochr_ACHR014143-RB											
OG0016400			Anochr_ACHR008377-RA											
OG0016401			Anochr_ACHR014167-RA											
OG0016402			Anochr_ACHR014392-RB											
OG0016403			Anochr_ACHR014123-RA											
OG0016404			Anochr_ACHR014390-RA											
OG0016405			Anochr_ACHR014152-RA											
OG0016406			Anochr_ACHR014153-RA											
OG0016407			Anochr_ACHR008337-RA											
OG0016408			Anochr_ACHR008535-RA											
OG0016409			Anochr_ACHR014399-RA											
OG0016410			Anochr_ACHR014409-RA											
OG0016411			Anochr_ACHR014098-RA											
OG0016412			Anochr_ACHR014397-RA											
OG0016413			Anochr_ACHR014400-RA											
OG0016414			Anochr_ACHR014405-RA											
OG0016415			Anochr_ACHR014401-RA											
OG0016416			Anochr_ACHR014170-RA											
OG0016417			Anochr_ACHR008492-RA											
OG0016418			Anochr_ACHR014175-RA											
OG0016419			Anochr_ACHR014408-RA											
OG0016420			Anochr_ACHR008622-RA											
OG0016421			Anochr_ACHR014398-RA											
OG0016422			Anochr_ACHR008584-RA											
OG0016423			Anochr_ACHR008585-RA											
OG0016424			Anochr_ACHR008586-RA											
OG0016425			Anochr_ACHR014406-RA											
OG0016426			Anochr_ACHR014403-RA											
OG0016427			Anochr_ACHR014402-RA											
OG0016428			Anochr_ACHR014407-RA											
OG0016429			Anochr_ACHR014410-RA											
OG0016430			Anochr_ACHR008628-RA											
OG0016431			Anochr_ACHR014420-RA											
OG0016432			Anochr_ACHR008797-RA											
OG0016433			Anochr_ACHR008799-RA											
OG0016434			Anochr_ACHR014162-RA											
OG0016435			Anochr_ACHR008673-RA											
OG0016436			Anochr_ACHR014412-RA											
OG0016437			Anochr_ACHR014120-RA											
OG0016438			Anochr_ACHR014414-RA											
OG0016439			Anochr_ACHR008914-RA											
OG0016440			Anochr_ACHR002942-RA											
OG0016441			Anochr_ACHR014418-RB											
OG0016442			Anochr_ACHR008905-RA											
OG0016443			Anochr_ACHR014116-RA											
OG0016444			Anochr_ACHR008704-RA											
OG0016445			Anochr_ACHR014415-RA											
OG0016446			Anochr_ACHR008807-RA											
OG0016447			Anochr_ACHR008659-RA											
OG0016448			Anochr_ACHR014411-RA											
OG0016449			Anochr_ACHR008753-RA											
OG0016450			Anochr_ACHR014139-RA											
OG0016451			Anochr_ACHR014413-RA											
OG0016452			Anochr_ACHR001266-RA											
OG0016453			Anochr_ACHR001267-RA											
OG0016454			Anochr_ACHR009116-RA											
OG0016455			Anochr_ACHR014433-RA											
OG0016456			Anochr_ACHR008976-RA											
OG0016457			Anochr_ACHR014425-RA											
OG0016458			Anochr_ACHR014426-RA											
OG0016459			Anochr_ACHR014434-RA											
OG0016460			Anochr_ACHR014166-RA											
OG0016461			Anochr_ACHR014428-RA											
OG0016462			Anochr_ACHR014430-RA											
OG0016463			Anochr_ACHR008950-RA											
OG0016464			Anochr_ACHR009081-RA											
OG0016465			Anochr_ACHR009053-RA											
OG0016466			Anochr_ACHR014432-RA											
OG0016467			Anochr_ACHR008930-RA											
OG0016468			Anochr_ACHR014429-RA											
OG0016469			Anochr_ACHR014093-RA											
OG0016470			Anochr_ACHR002489-RA											
OG0016471			Anochr_ACHR009022-RA											
OG0016472			Anochr_ACHR002692-RA											
OG0016473			Anochr_ACHR009244-RA											
OG0016474			Anochr_ACHR003302-RA											
OG0016475			Anochr_ACHR014438-RA											
OG0016476			Anochr_ACHR014145-RA											
OG0016477			Anochr_ACHR014435-RA											
OG0016478			Anochr_ACHR014439-RA											
OG0016479			Anochr_ACHR014157-RA											
OG0016480			Anochr_ACHR014442-RA											
OG0016481			Anochr_ACHR009186-RA											
OG0016482			Anochr_ACHR014436-RA											
OG0016483			Anochr_ACHR014440-RA											
OG0016484			Anochr_ACHR014017-RA											
OG0016485			Anochr_ACHR014144-RA											
OG0016486			Anochr_ACHR014447-RA											
OG0016487			Anochr_ACHR014142-RA											
OG0016488			Anochr_ACHR009340-RA											
OG0016489			Anochr_ACHR014137-RA											
OG0016490			Anochr_ACHR014444-RA											
OG0016491			Anochr_ACHR009484-RA											
OG0016492			Anochr_ACHR009382-RA											
OG0016493			Anochr_ACHR014140-RB											
OG0016494			Anochr_ACHR014154-RA											
OG0016495			Anochr_ACHR014108-RA											
OG0016496			Anochr_ACHR014052-RA											
OG0016497			Anochr_ACHR014105-RB											
OG0016498			Anochr_ACHR014445-RA											
OG0016499			Anochr_ACHR014109-RA											
OG0016500			Anochr_ACHR009398-RA											
OG0016501			Anochr_ACHR002884-RA											
OG0016502			Anochr_ACHR014164-RA											
OG0016503			Anochr_ACHR014446-RA											
OG0016504			Anochr_ACHR014443-RA											
OG0016505			Anochr_ACHR014156-RA											
OG0016506			Anochr_ACHR014449-RA											
OG0016507			Anochr_ACHR014163-RA											
OG0016508			Anochr_ACHR014453-RA											
OG0016509			Anochr_ACHR014456-RA											
OG0016510			Anochr_ACHR014457-RA											
OG0016511			Anochr_ACHR014161-RA											
OG0016512			Anochr_ACHR014454-RA											
OG0016513			Anochr_ACHR014451-RA											
OG0016514			Anochr_ACHR014459-RA											
OG0016515			Anochr_ACHR014064-RA											
OG0016516			Anochr_ACHR014065-RA											
OG0016517			Anochr_ACHR009675-RA											
OG0016518			Anochr_ACHR009520-RA											
OG0016519			Anochr_ACHR014091-RA											
OG0016520			Anochr_ACHR014132-RA											
OG0016521			Anochr_ACHR014168-RA											
OG0016522			Anochr_ACHR014169-RA											
OG0016523			Anochr_ACHR014127-RA											
OG0016524			Anochr_ACHR014128-RB											
OG0016525			Anochr_ACHR009606-RA											
OG0016526			Anochr_ACHR014452-RA											
OG0016527			Anochr_ACHR014455-RA											
OG0016528			Anochr_ACHR014080-RA											
OG0016529			Anochr_ACHR014149-RA											
OG0016530			Anochr_ACHR014110-RA											
OG0016531			Anochr_ACHR014464-RA											
OG0016532			Anochr_ACHR014135-RA											
OG0016533			Anochr_ACHR014129-RA											
OG0016534			Anochr_ACHR014130-RA											
OG0016535			Anochr_ACHR014172-RA											
OG0016536			Anochr_ACHR014028-RA											
OG0016537			Anochr_ACHR014160-RA											
OG0016538			Anochr_ACHR014121-RA											
OG0016539			Anochr_ACHR014122-RA											
OG0016540			Anochr_ACHR002739-RA											
OG0016541			Anochr_ACHR014462-RC											
OG0016542			Anochr_ACHR014111-RB											
OG0016543			Anochr_ACHR014463-RA											
OG0016544			Anochr_ACHR014174-RA											
OG0016545			Anochr_ACHR014022-RA											
OG0016546			Anochr_ACHR014461-RA											
OG0016547			Anochr_ACHR014141-RA											
OG0016548			Anochr_ACHR014460-RA											
OG0016549			Anochr_ACHR014041-RA											
OG0016550			Anochr_ACHR014465-RA											
OG0016551			Anochr_ACHR014138-RA											
OG0016552			Anochr_ACHR014126-RA											
OG0016553			Anochr_ACHR009881-RA											
OG0016554			Anochr_ACHR009875-RA											
OG0016555			Anochr_ACHR009896-RA											
OG0016556			Anochr_ACHR009982-RA											
OG0016557			Anochr_ACHR009919-RA											
OG0016558			Anochr_ACHR014106-RA											
OG0016559			Anochr_ACHR014007-RA											
OG0016560			Anochr_ACHR014467-RA											
OG0016561			Anochr_ACHR014115-RA											
OG0016562				Anocul_ACUA023802-RA										
OG0016563				Anocul_ACUA002269-RA										
OG0016564				Anocul_ACUA010449-RA										
OG0016565				Anocul_ACUA020517-RA										
OG0016566				Anocul_ACUA003453-RA										
OG0016567				Anocul_ACUA026111-RA										
OG0016568				Anocul_ACUA008150-RA										
OG0016569				Anocul_ACUA028102-RA										
OG0016570				Anocul_ACUA014665-RA										
OG0016571				Anocul_ACUA015490-RA										
OG0016572				Anocul_ACUA017554-RA										
OG0016573				Anocul_ACUA018722-RA										
OG0016574				Anocul_ACUA021239-RA										
OG0016575				Anocul_ACUA021371-RA										
OG0016576				Anocul_ACUA002375-RA										
OG0016577				Anocul_ACUA006787-RA										
OG0016578				Anocul_ACUA027409-RA										
OG0016579				Anocul_ACUA018394-RA										
OG0016580				Anocul_ACUA005135-RA										
OG0016581				Anocul_ACUA005150-RA										
OG0016582				Anocul_ACUA020390-RA										
OG0016583				Anocul_ACUA022992-RA										
OG0016584				Anocul_ACUA019434-RA										
OG0016585				Anocul_ACUA025231-RA										
OG0016586				Anocul_ACUA008989-RA										
OG0016587				Anocul_ACUA019866-RA										
OG0016588				Anocul_ACUA024522-RA										
OG0016589				Anocul_ACUA005819-RA										
OG0016590				Anocul_ACUA011995-RA										
OG0016591				Anocul_ACUA015040-RA										
OG0016592				Anocul_ACUA020724-RA										
OG0016593				Anocul_ACUA014445-RA										
OG0016594				Anocul_ACUA011639-RA										
OG0016595				Anocul_ACUA016558-RA										
OG0016596				Anocul_ACUA012496-RA										
OG0016597				Anocul_ACUA006231-RA										
OG0016598				Anocul_ACUA022183-RA										
OG0016599				Anocul_ACUA009952-RA										
OG0016600				Anocul_ACUA018487-RA										
OG0016601				Anocul_ACUA007452-RA										
OG0016602				Anocul_ACUA011814-RA										
OG0016603				Anocul_ACUA016644-RA										
OG0016604				Anocul_ACUA028395-RA										
OG0016605				Anocul_ACUA005432-RA										
OG0016606				Anocul_ACUA016985-RA										
OG0016607				Anocul_ACUA001109-RA										
OG0016608				Anocul_ACUA020450-RA										
OG0016609				Anocul_ACUA015353-RA										
OG0016610				Anocul_ACUA027915-RA										
OG0016611				Anocul_ACUA014407-RA										
OG0016612				Anocul_ACUA028183-RA										
OG0016613				Anocul_ACUA007895-RA										
OG0016614				Anocul_ACUA007654-RA										
OG0016615				Anocul_ACUA019871-RA										
OG0016616				Anocul_ACUA008085-RA										
OG0016617				Anocul_ACUA018566-RA										
OG0016618				Anocul_ACUA002408-RA										
OG0016619				Anocul_ACUA001015-RA										
OG0016620				Anocul_ACUA018149-RA										
OG0016621				Anocul_ACUA010244-RA										
OG0016622				Anocul_ACUA000289-RA										
OG0016623				Anocul_ACUA000404-RA										
OG0016624				Anocul_ACUA007650-RA										
OG0016625				Anocul_ACUA016413-RA										
OG0016626				Anocul_ACUA020812-RA										
OG0016627				Anocul_ACUA024838-RA										
OG0016628				Anocul_ACUA024804-RA										
OG0016629				Anocul_ACUA011829-RA										
OG0016630				Anocul_ACUA008620-RA										
OG0016631				Anocul_ACUA024980-RA										
OG0016632				Anocul_ACUA007969-RA										
OG0016633				Anocul_ACUA015591-RA										
OG0016634				Anocul_ACUA025247-RA										
OG0016635				Anocul_ACUA008440-RA										
OG0016636				Anocul_ACUA018868-RA										
OG0016637				Anocul_ACUA018147-RA										
OG0016638				Anocul_ACUA009782-RA										
OG0016639				Anocul_ACUA021352-RA										
OG0016640				Anocul_ACUA000129-RA										
OG0016641				Anocul_ACUA025530-RA										
OG0016642				Anocul_ACUA014457-RA										
OG0016643				Anocul_ACUA008212-RA										
OG0016644				Anocul_ACUA019009-RA										
OG0016645				Anocul_ACUA009268-RA										
OG0016646				Anocul_ACUA022230-RA										
OG0016647				Anocul_ACUA010491-RA										
OG0016648				Anocul_ACUA014222-RA										
OG0016649				Anocul_ACUA015802-RA										
OG0016650				Anocul_ACUA014126-RA										
OG0016651				Anocul_ACUA001609-RA										
OG0016652				Anocul_ACUA016541-RA										
OG0016653				Anocul_ACUA011708-RA										
OG0016654				Anocul_ACUA019086-RA										
OG0016655				Anocul_ACUA000603-RA										
OG0016656				Anocul_ACUA024433-RA										
OG0016657				Anocul_ACUA015302-RA										
OG0016658				Anocul_ACUA012228-RA										
OG0016659				Anocul_ACUA007668-RA										
OG0016660				Anocul_ACUA021267-RA										
OG0016661				Anocul_ACUA005923-RA										
OG0016662				Anocul_ACUA024284-RA										
OG0016663				Anocul_ACUA012965-RA										
OG0016664				Anocul_ACUA001035-RA										
OG0016665				Anocul_ACUA007984-RA										
OG0016666				Anocul_ACUA001712-RA										
OG0016667				Anocul_ACUA003341-RA										
OG0016668				Anocul_ACUA018581-RA										
OG0016669				Anocul_ACUA012236-RA										
OG0016670				Anocul_ACUA003675-RA										
OG0016671				Anocul_ACUA022141-RA										
OG0016672				Anocul_ACUA022097-RA										
OG0016673				Anocul_ACUA007148-RA										
OG0016674				Anocul_ACUA017585-RA										
OG0016675				Anocul_ACUA018060-RA										
OG0016676				Anocul_ACUA011141-RA										
OG0016677				Anocul_ACUA027392-RA										
OG0016678				Anocul_ACUA001767-RA										
OG0016679				Anocul_ACUA006942-RA										
OG0016680				Anocul_ACUA007347-RA										
OG0016681				Anocul_ACUA019711-RA										
OG0016682				Anocul_ACUA020540-RA										
OG0016683				Anocul_ACUA018414-RA										
OG0016684				Anocul_ACUA014904-RA										
OG0016685				Anocul_ACUA022333-RA										
OG0016686				Anocul_ACUA003600-RA										
OG0016687				Anocul_ACUA022115-RA										
OG0016688				Anocul_ACUA014286-RA										
OG0016689				Anocul_ACUA012632-RA										
OG0016690				Anocul_ACUA026857-RA										
OG0016691				Anocul_ACUA012807-RA										
OG0016692				Anocul_ACUA021899-RA										
OG0016693				Anocul_ACUA000801-RA										
OG0016694				Anocul_ACUA008196-RA										
OG0016695				Anocul_ACUA022531-RA										
OG0016696				Anocul_ACUA018806-RA										
OG0016697				Anocul_ACUA020388-RA										
OG0016698				Anocul_ACUA000202-RA										
OG0016699				Anocul_ACUA018679-RA										
OG0016700				Anocul_ACUA021629-RA										
OG0016701				Anocul_ACUA026285-RA										
OG0016702				Anocul_ACUA010238-RA										
OG0016703				Anocul_ACUA007407-RA										
OG0016704				Anocul_ACUA001104-RA										
OG0016705				Anocul_ACUA017123-RA										
OG0016706				Anocul_ACUA011918-RA										
OG0016707				Anocul_ACUA021932-RA										
OG0016708				Anocul_ACUA012285-RA										
OG0016709				Anocul_ACUA022108-RA										
OG0016710				Anocul_ACUA000509-RA										
OG0016711				Anocul_ACUA013123-RA										
OG0016712				Anocul_ACUA028220-RA										
OG0016713				Anocul_ACUA022533-RA										
OG0016714				Anocul_ACUA005045-RA										
OG0016715				Anocul_ACUA014129-RA										
OG0016716				Anocul_ACUA012520-RA										
OG0016717				Anocul_ACUA006437-RA										
OG0016718				Anocul_ACUA018154-RA										
OG0016719				Anocul_ACUA013907-RA										
OG0016720				Anocul_ACUA011289-RA										
OG0016721				Anocul_ACUA007222-RA										
OG0016722				Anocul_ACUA015538-RA										
OG0016723				Anocul_ACUA027346-RA										
OG0016724				Anocul_ACUA026396-RA										
OG0016725				Anocul_ACUA025220-RA										
OG0016726				Anocul_ACUA024432-RA										
OG0016727				Anocul_ACUA004696-RA										
OG0016728				Anocul_ACUA004657-RA										
OG0016729				Anocul_ACUA018078-RA										
OG0016730				Anocul_ACUA007732-RA										
OG0016731				Anocul_ACUA009806-RA										
OG0016732				Anocul_ACUA010111-RA										
OG0016733				Anocul_ACUA022998-RA										
OG0016734				Anocul_ACUA025351-RA										
OG0016735				Anocul_ACUA010687-RA										
OG0016736				Anocul_ACUA019002-RA										
OG0016737				Anocul_ACUA025322-RA										
OG0016738				Anocul_ACUA003915-RA										
OG0016739				Anocul_ACUA021460-RA										
OG0016740				Anocul_ACUA003876-RA										
OG0016741				Anocul_ACUA026770-RA										
OG0016742				Anocul_ACUA016518-RA										
OG0016743				Anocul_ACUA011190-RA										
OG0016744				Anocul_ACUA027813-RA										
OG0016745				Anocul_ACUA013808-RA										
OG0016746				Anocul_ACUA021020-RA										
OG0016747				Anocul_ACUA004640-RA										
OG0016748				Anocul_ACUA025598-RA										
OG0016749				Anocul_ACUA017246-RA										
OG0016750				Anocul_ACUA024685-RA										
OG0016751				Anocul_ACUA024930-RA										
OG0016752				Anocul_ACUA022137-RA										
OG0016753				Anocul_ACUA027504-RA										
OG0016754				Anocul_ACUA019171-RA										
OG0016755				Anocul_ACUA017769-RA										
OG0016756				Anocul_ACUA002818-RA										
OG0016757				Anocul_ACUA001447-RA										
OG0016758				Anocul_ACUA001133-RA										
OG0016759				Anocul_ACUA016826-RA										
OG0016760				Anocul_ACUA023252-RA										
OG0016761				Anocul_ACUA021443-RA										
OG0016762				Anocul_ACUA005449-RA										
OG0016763				Anocul_ACUA016770-RA										
OG0016764				Anocul_ACUA014569-RA										
OG0016765				Anocul_ACUA021347-RA										
OG0016766				Anocul_ACUA028308-RA										
OG0016767				Anocul_ACUA000940-RA										
OG0016768				Anocul_ACUA008235-RA										
OG0016769				Anocul_ACUA018517-RA										
OG0016770				Anocul_ACUA020596-RA										
OG0016771				Anocul_ACUA015609-RA										
OG0016772				Anocul_ACUA015632-RA										
OG0016773				Anocul_ACUA015986-RA										
OG0016774				Anocul_ACUA015653-RA										
OG0016775				Anocul_ACUA027297-RA										
OG0016776				Anocul_ACUA001345-RA										
OG0016777				Anocul_ACUA008746-RA										
OG0016778				Anocul_ACUA005453-RA										
OG0016779				Anocul_ACUA027942-RA										
OG0016780				Anocul_ACUA027135-RA										
OG0016781				Anocul_ACUA007671-RA										
OG0016782				Anocul_ACUA009937-RA										
OG0016783				Anocul_ACUA010490-RA										
OG0016784				Anocul_ACUA004449-RA										
OG0016785				Anocul_ACUA009718-RA										
OG0016786				Anocul_ACUA027229-RA										
OG0016787				Anocul_ACUA026328-RA										
OG0016788				Anocul_ACUA021559-RA										
OG0016789				Anocul_ACUA019466-RA										
OG0016790				Anocul_ACUA014576-RA										
OG0016791				Anocul_ACUA008367-RA										
OG0016792				Anocul_ACUA013885-RA										
OG0016793				Anocul_ACUA006085-RA										
OG0016794				Anocul_ACUA005692-RA										
OG0016795				Anocul_ACUA021396-RA										
OG0016796				Anocul_ACUA018088-RA										
OG0016797				Anocul_ACUA012207-RA										
OG0016798				Anocul_ACUA010027-RA										
OG0016799				Anocul_ACUA015464-RA										
OG0016800				Anocul_ACUA016139-RA										
OG0016801				Anocul_ACUA020921-RA										
OG0016802				Anocul_ACUA020566-RA										
OG0016803				Anocul_ACUA003740-RA										
OG0016804				Anocul_ACUA019279-RA										
OG0016805				Anocul_ACUA027709-RA										
OG0016806				Anocul_ACUA013796-RA										
OG0016807				Anocul_ACUA018003-RA										
OG0016808				Anocul_ACUA027730-RA										
OG0016809				Anocul_ACUA020639-RA										
OG0016810				Anocul_ACUA008244-RA										
OG0016811				Anocul_ACUA018635-RA										
OG0016812				Anocul_ACUA012411-RA										
OG0016813				Anocul_ACUA024952-RA										
OG0016814				Anocul_ACUA000608-RA										
OG0016815				Anocul_ACUA014009-RA										
OG0016816				Anocul_ACUA000291-RA										
OG0016817				Anocul_ACUA020206-RA										
OG0016818				Anocul_ACUA024761-RA										
OG0016819				Anocul_ACUA015033-RA										
OG0016820				Anocul_ACUA018247-RA										
OG0016821				Anocul_ACUA017458-RA										
OG0016822				Anocul_ACUA021999-RA										
OG0016823				Anocul_ACUA013634-RA										
OG0016824				Anocul_ACUA003295-RA										
OG0016825				Anocul_ACUA014561-RA										
OG0016826				Anocul_ACUA005407-RA										
OG0016827				Anocul_ACUA020642-RA										
OG0016828				Anocul_ACUA014970-RA										
OG0016829				Anocul_ACUA025177-RA										
OG0016830				Anocul_ACUA026815-RA										
OG0016831				Anocul_ACUA010672-RA										
OG0016832				Anocul_ACUA001372-RA										
OG0016833				Anocul_ACUA021141-RA										
OG0016834				Anocul_ACUA017635-RA										
OG0016835				Anocul_ACUA022396-RA										
OG0016836				Anocul_ACUA014687-RA										
OG0016837				Anocul_ACUA025914-RA										
OG0016838				Anocul_ACUA001487-RA										
OG0016839				Anocul_ACUA026177-RA										
OG0016840				Anocul_ACUA009576-RA										
OG0016841				Anocul_ACUA021964-RA										
OG0016842				Anocul_ACUA025264-RA										
OG0016843				Anocul_ACUA007522-RA										
OG0016844				Anocul_ACUA000947-RA										
OG0016845				Anocul_ACUA005042-RA										
OG0016846				Anocul_ACUA009458-RA										
OG0016847				Anocul_ACUA002445-RA										
OG0016848				Anocul_ACUA008660-RA										
OG0016849				Anocul_ACUA003855-RA										
OG0016850				Anocul_ACUA009289-RA										
OG0016851				Anocul_ACUA020181-RA										
OG0016852				Anocul_ACUA005209-RA										
OG0016853				Anocul_ACUA014219-RA										
OG0016854				Anocul_ACUA018989-RA										
OG0016855				Anocul_ACUA013151-RA										
OG0016856				Anocul_ACUA010127-RA										
OG0016857				Anocul_ACUA010507-RA										
OG0016858				Anocul_ACUA020196-RA										
OG0016859				Anocul_ACUA013474-RA										
OG0016860				Anocul_ACUA018662-RA										
OG0016861				Anocul_ACUA026512-RA										
OG0016862				Anocul_ACUA019808-RA										
OG0016863				Anocul_ACUA000672-RA										
OG0016864				Anocul_ACUA004922-RA										
OG0016865				Anocul_ACUA021808-RA										
OG0016866				Anocul_ACUA024315-RA										
OG0016867				Anocul_ACUA017678-RA										
OG0016868				Anocul_ACUA002992-RA										
OG0016869				Anocul_ACUA027957-RA										
OG0016870				Anocul_ACUA008242-RA										
OG0016871				Anocul_ACUA007914-RA										
OG0016872				Anocul_ACUA025996-RA										
OG0016873				Anocul_ACUA021935-RA										
OG0016874				Anocul_ACUA007035-RA										
OG0016875				Anocul_ACUA013084-RA										
OG0016876				Anocul_ACUA016897-RA										
OG0016877				Anocul_ACUA000074-RA										
OG0016878				Anocul_ACUA018531-RA										
OG0016879				Anocul_ACUA026896-RA										
OG0016880				Anocul_ACUA023999-RA										
OG0016881				Anocul_ACUA008674-RA										
OG0016882				Anocul_ACUA025698-RA										
OG0016883				Anocul_ACUA011652-RA										
OG0016884				Anocul_ACUA024669-RA										
OG0016885				Anocul_ACUA023261-RA										
OG0016886				Anocul_ACUA016404-RA										
OG0016887				Anocul_ACUA003830-RA										
OG0016888				Anocul_ACUA025724-RA										
OG0016889				Anocul_ACUA019065-RA										
OG0016890				Anocul_ACUA013742-RA										
OG0016891				Anocul_ACUA027844-RA										
OG0016892				Anocul_ACUA009923-RA										
OG0016893				Anocul_ACUA017143-RA										
OG0016894				Anocul_ACUA008841-RA										
OG0016895				Anocul_ACUA005803-RA										
OG0016896				Anocul_ACUA007036-RA										
OG0016897				Anocul_ACUA015694-RA										
OG0016898				Anocul_ACUA026135-RA										
OG0016899				Anocul_ACUA011191-RA										
OG0016900				Anocul_ACUA006360-RA										
OG0016901				Anocul_ACUA017689-RA										
OG0016902				Anocul_ACUA010070-RA										
OG0016903				Anocul_ACUA002964-RA										
OG0016904				Anocul_ACUA028001-RA										
OG0016905				Anocul_ACUA015724-RA										
OG0016906				Anocul_ACUA020119-RA										
OG0016907				Anocul_ACUA014565-RA										
OG0016908				Anocul_ACUA017650-RA										
OG0016909				Anocul_ACUA005133-RA										
OG0016910				Anocul_ACUA023831-RA										
