gene	family
Cint_ENSCINP00000026472	SMYD3
Crev_80574	SMYD3
Ctel_183922	SMYD3
Cvar_EFN59915	SMYD3
Ddis_XP_629856	SMYD3
Gthe_136248	SMYD3
Hmag_XP_002163555	SMYD3
Hsap_ENSP00000355924	SMYD3
Hsap_ENSP00000373637	SMYD3
Hsap_ENSP00000393453	SMYD3
Ihof_9158	SMYD3
Lmaj_XP_001683686	SMYD3
Mbre_XP_001749926	SMYD3
Mcir_Mucci2_112353	SMYD3
Mgut_mgv1a002206m	SMYD3
Mver_04558	SMYD3
Mvib_comp9007_c1_seq1_fr4	SMYD3
Nvec_XP_001627273	SMYD3
Nvec_XP_001627600	SMYD3
Pbla_Phybl2_189332	SMYD3
Pinf_XP_002900537	SMYD3
Pisp_16258	SMYD3
Pisp_2064	SMYD3
Ppal_EFA76050_1	SMYD3
Ppat_XP_001754073	SMYD3
Rirr_210128	SMYD3
Rirr_5517	SMYD3
Rory_4950	SMYD3
Sarc_SARC_00798	SMYD3
Scil_16111	SMYD3
Scil_46411	SMYD3
Spom_NP_596514_1	SMYD3
Spun_SPPG_03824	SMYD3
Spur_XP_001199204	SMYD3
Spur_XP_003730587	SMYD3
Spur_XP_003730778	SMYD3
Spur_XP_003731708	SMYD3
Spur_XP_788278	SMYD3
Spur_XP_799878	SMYD3
Tadh_XP_002109888	SMYD3
Tpse_XP_002292103	SMYD3
Umar_222446	SMYD3
Umar_226245	SMYD3
Umar_278813	SMYD3
Vcar_XP_002950612	SMYD3
Acas_g2212	SMYD4
Acas_g4900	SMYD4
Acoe_082_00002	SMYD4
Adig_6000v123107	SMYD4
Aker_53277	SMYD4
Aker_57510	SMYD4
Atha_AT2G17900	SMYD4
Bdis_1g11010	SMYD4
Cgig_10012735	SMYD4
Cowc_CAOG_04094	SMYD4
Ctel_118237	SMYD4
Ctel_197951	SMYD4
Ctel_90747	SMYD4
Ddis_XP_629223	SMYD4
Ddis_XP_638717	SMYD4
Dmel_FBpp0087091	SMYD4
Dmel_FBpp0087625	SMYD4
Hmag_XP_002159692	SMYD4
Hmag_XP_002160254	SMYD4
Hsap_ENSP00000304360	SMYD4
Lgig_143433	SMYD4
Lgig_169490	SMYD4
Mgut_mgv1a005471m	SMYD4
Mgut_mgv1a006005m	SMYD4
Mgut_mgv1a007180m	SMYD4
Mlei_ML05941a	SMYD4
Mlei_ML13116a	SMYD4
Mlei_ML16213a	SMYD4
Mlei_ML205611a	SMYD4
Mlei_ML22756a	SMYD4
Mlei_ML368810a	SMYD4
Ocar_g9404_t1	SMYD4
Pmar_XP_002786654	SMYD4
Ppal_EFA80047_1	SMYD4
Ppal_EFA81042_1	SMYD4
Ppat_XP_001778213	SMYD4
Ptri_XP_002182999	SMYD4
Sbic_01g010740	SMYD4
Scer_SCRT_04921	SMYD4
Skow_XP_002733823	SMYD4
Skow_XP_002740933	SMYD4
Smoe_XP_002969663	SMYD4
Smoe_XP_002981276	SMYD4
Spur_XP_001181205	SMYD4
Spur_XP_781331	SMYD4
Tpse_XP_002290198	SMYD4
Aano_F0XZE1	SMYD5
Acas_g1616	SMYD5
Acas_g3116	SMYD5
Acas_g8002	SMYD5
Acoe_005_00445	SMYD5
Adig_9231v106136	SMYD5
Amac_01567	SMYD5
Amac_04063	SMYD5
Amac_04388	SMYD5
Apar_comp13703_c0_seq1_fr5	SMYD5
Apar_comp18491_c0_seq1_fr5	SMYD5
Apar_comp22796_c1_seq1_fr5	SMYD5
Atha_AT3G21820	SMYD5
Bdis_5g22730	SMYD5
Bsal_BS55355	SMYD5
Cang_44709	SMYD5
Ccin_CC1G_05287	SMYD5
Cfra_1710T1	SMYD5
Cgig_10009476	SMYD5
Cgig_10010760	SMYD5
Cgig_10010761	SMYD5
Cneo_XP_569210	SMYD5
Cowc_CAOG_07464	SMYD5
Ctel_159764	SMYD5
Cvar_EFN50876	SMYD5
Dmel_FBpp0083507	SMYD5
Ehux_449359	SMYD5
Gpro_54135	SMYD5
Hmag_XP_002160911	SMYD5
Hsap_ENSP00000374152	SMYD5
Ihof_7302	SMYD5
Lgig_160845	SMYD5
Lgig_231752	SMYD5
Lgig_232186	SMYD5
Lmaj_XP_001683140	SMYD5
Mcir_Mucci2_142882	SMYD5
Mgut_mgv1a005946m	SMYD5
Mpus_Micpu20125	SMYD5
Mver_00548	SMYD5
Mver_03338	SMYD5
Mver_07358	SMYD5
Nvec_XP_001627062	SMYD5
Otau_XP_003083145	SMYD5
Pbla_Phybl2_98969	SMYD5
Ppat_XP_001759368	SMYD5
Rirr_72238	SMYD5
Rory_16826	SMYD5
Sbic_06g029440	SMYD5
Scil_51718	SMYD5
Skow_XP_002735533	SMYD5
Smoe_XP_002966643	SMYD5
Smoe_XP_002978099	SMYD5
Spun_SPPG_03192	SMYD5
Spur_XP_784346	SMYD5
Sros_PTSG_08216	SMYD5
Tadh_XP_002114620	SMYD5
Tcru_XP_810972	SMYD5
Umar_191570	SMYD5
Umar_220360	SMYD5
Umay_XP_758615	SMYD5
Acas_g441	SUV39
Apar_comp14837_c0_seq1_fr6	SUV39
Aque_XP_003389507	SUV39
Bnat_40920	SUV39
Bnat_69038	SUV39
Bsal_BS32645	SUV39
Cgig_10004599	SUV39
Cint_ENSCINP00000001349	SUV39
Cpar_26081Contig52867	SUV39
Crev_81553	SUV39
Crev_82539	SUV39
Ctel_140913	SUV39
Ddis_XP_646062	SUV39
Dmel_FBpp0082583	SUV39
Glam_XP_001705541	SUV39
Hmag_XP_002162409	SUV39
Hsap_ENSP00000337976	SUV39
Hsap_ENSP00000346997	SUV39
Ihof_3673	SUV39
Lgig_134869	SUV39
Mlei_ML05765a	SUV39
Mlei_ML06271a	SUV39
Ncra_3927NCU04402	SUV39
Nvec_XP_001628294	SUV39
Pisp_45708	SUV39
Rall_4856	SUV39
Rfil_24410_3cf1	SUV39
Scil_53898	SUV39
Scil_72863	SUV39
Skow_XP_002734659	SUV39
Spom_NP_595186_1	SUV39
Spur_XP_782949	SUV39
Tcru_XP_810935	SUV39
Tcru_XP_818076	SUV39
Tmel_XP_002836926	SUV39
Tvag_XP_001276923	SUV39
Umay_XP_756547	SUV39
Amac_11412	SUV420
Amac_13870	SUV420
Apar_comp16015_c3_seq1_fr4	SUV420
Apar_comp26195_c0_seq1_fr6	SUV420
Bden_Batde5_8511	SUV420
Cang_122643	SUV420
Cang_122703	SUV420
Cang_125152	SUV420
Ccin_CC1G_11834	SUV420
Ccor_10342	SUV420
Cele_C32D5_5	SUV420
Cfra_7019T1	SUV420
Cgig_10007764	SUV420
Cint_ENSCINP00000001120	SUV420
Clim_g3288	SUV420
Clim_g4811	SUV420
Cowc_CAOG_02948	SUV420
Crev_43176	SUV420
Ctel_228696	SUV420
Dmel_FBpp0070146	SUV420
Falb_H696_04933T0	SUV420
Gpro_132992	SUV420
Gpro_66054	SUV420
Hmag_XP_002166241	SUV420
Hsap_ENSP00000255613	SUV420
Hsap_ENSP00000305899	SUV420
Ihof_10267	SUV420
Ihof_3741	SUV420
Ihof_9721	SUV420
Lgig_116803	SUV420
Mcir_Mucci2_135209	SUV420
Mcir_Mucci2_150356	SUV420
Mlei_ML02412a	SUV420
Mver_08497	SUV420
Ncra_7565NCU08551	SUV420
Nvec_XP_001634769	SUV420
Ocar_g3228_t1	SUV420
Pbla_Phybl2_112008	SUV420
Pisp_49244	SUV420
Rall_3287	SUV420
Rory_16697	SUV420
Rory_2737	SUV420
Rory_5415	SUV420
Skow_XP_002732220	SUV420
Spom_NP_588078_1	SUV420
Spun_SPPG_04024	SUV420
Spur_XP_800216	SUV420
Sros_PTSG_09637	SUV420
Tadh_XP_002115573	SUV420
Tmel_XP_002839141	SUV420
Umar_223368	SUV420
Umay_XP_756690	SUV420
